Inference for Stan model: hmm-semisup-orig.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                       mean se_mean    sd     2.5%      25%      50%      75%    97.5% n_eff    Rhat
y_star[12,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[12,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[12,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[13,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[13,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[14,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[14,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[15,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[15,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[16,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[16,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[17,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[17,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[18,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
