Inference for Stan model: hmm_simple.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                    mean se_mean   sd      2.5%       25%       50%       75%     97.5% n_eff  Rhat
phi[2,1,5]          0.06    0.00 0.00      0.06      0.06      0.06      0.07      0.07     1  1.75
phi[2,1,6]          0.20    0.00 0.01      0.19      0.20      0.20      0.21      0.21     1  1.57
phi[2,1,7]          0.09    0.00 0.00      0.08      0.08      0.09      0.09      0.09     1  1.67
phi[2,1,8]          0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03     1  1.93
phi[2,1,9]          0.03    0.00 0.00      0.02      0.03      0.03      0.03      0.03     1  1.97
phi[2,2,1]          0.24    0.00 0.00      0.23      0.24      0.24      0.24      0.25   200  0.99
phi[2,2,2]          0.19    0.00 0.00      0.18      0.19      0.19      0.19      0.20   200  0.99
phi[2,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13   200  0.99
phi[2,2,4]          0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03   200  1.00
phi[2,2,5]          0.06    0.00 0.00      0.06      0.06      0.07      0.07      0.07   200  0.99
phi[2,2,6]          0.20    0.00 0.00      0.19      0.20      0.20      0.20      0.21   200  0.99
phi[2,2,7]          0.09    0.00 0.00      0.08      0.09      0.09      0.09      0.09   200  1.00
phi[2,2,8]          0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.04   200  0.99
phi[2,2,9]          0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03   200  1.00
phi[2,3,1]          0.25    0.01 0.01      0.24      0.24      0.25      0.25      0.26     1  2.52
phi[2,3,2]          0.19    0.00 0.00      0.19      0.19      0.19      0.20      0.20     3  1.12
phi[2,3,3]          0.12    0.00 0.00      0.11      0.12      0.12      0.12      0.13     2  1.36
phi[2,3,4]          0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03     1  2.22
phi[2,3,5]          0.06    0.00 0.00      0.06      0.06      0.06      0.07      0.07     1  1.93
phi[2,3,6]          0.20    0.00 0.01      0.19      0.20      0.20      0.21      0.21     1  1.68
phi[2,3,7]          0.09    0.00 0.00      0.08      0.08      0.09      0.09      0.09     1  1.80
phi[2,3,8]          0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03     1  2.02
phi[2,3,9]          0.03    0.00 0.00      0.02      0.03      0.03      0.03      0.03     1  2.09
phi[3,1,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.08
phi[3,1,2]          0.18    0.00 0.00      0.18      0.18      0.18      0.18      0.19     3  1.20
phi[3,1,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.27
phi[3,1,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.39
phi[3,1,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  1.93
phi[3,1,6]          0.19    0.00 0.01      0.18      0.18      0.19      0.19      0.20     1  2.01
phi[3,1,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.78
phi[3,1,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.20
