Inference for Stan model: hmm_simple.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                   mean se_mean   sd      2.5%       25%       50%       75%
phi[1,5,4]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,5,5]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[1,5,6]         0.15    0.00 0.00      0.15      0.15      0.15      0.16
phi[1,5,7]         0.11    0.00 0.00      0.10      0.11      0.11      0.11
phi[1,5,8]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,5,9]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[2,1,1]         0.25    0.00 0.00      0.24      0.25      0.25      0.25
phi[2,1,2]         0.19    0.00 0.00      0.19      0.19      0.19      0.20
phi[2,1,3]         0.12    0.00 0.00      0.11      0.12      0.12      0.12
phi[2,1,4]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,1,5]         0.06    0.00 0.00      0.06      0.06      0.06      0.06
phi[2,1,6]         0.21    0.00 0.00      0.20      0.20      0.21      0.21
phi[2,1,7]         0.08    0.00 0.00      0.08      0.08      0.08      0.09
phi[2,1,8]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,1,9]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,2,1]         0.25    0.00 0.00      0.24      0.25      0.25      0.25
phi[2,2,2]         0.19    0.00 0.00      0.19      0.19      0.19      0.20
phi[2,2,3]         0.12    0.00 0.00      0.11      0.12      0.12      0.12
phi[2,2,4]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,2,5]         0.06    0.00 0.00      0.06      0.06      0.06      0.06
phi[2,2,6]         0.21    0.00 0.00      0.20      0.20      0.21      0.21
phi[2,2,7]         0.08    0.00 0.00      0.08      0.08      0.08      0.09
phi[2,2,8]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,2,9]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,3,1]         0.25    0.00 0.00      0.24      0.25      0.25      0.25
phi[2,3,2]         0.19    0.00 0.00      0.19      0.19      0.19      0.20
phi[2,3,3]         0.12    0.00 0.00      0.11      0.12      0.12      0.12
phi[2,3,4]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,3,5]         0.06    0.00 0.00      0.06      0.06      0.06      0.06
phi[2,3,6]         0.21    0.00 0.00      0.20      0.20      0.21      0.21
phi[2,3,7]         0.08    0.00 0.00      0.08      0.08      0.08      0.09
phi[2,3,8]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,3,9]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,4,1]         0.25    0.00 0.00      0.24      0.25      0.25      0.26
phi[2,4,2]         0.19    0.00 0.00      0.19      0.19      0.19      0.20
phi[2,4,3]         0.12    0.00 0.00      0.11      0.12      0.12      0.12
phi[2,4,4]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,4,5]         0.06    0.00 0.00      0.06      0.06      0.06      0.06
phi[2,4,6]         0.21    0.00 0.00      0.20      0.20      0.21      0.21
phi[2,4,7]         0.08    0.00 0.00      0.08      0.08      0.08      0.09
phi[2,4,8]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,4,9]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,5,1]         0.25    0.00 0.00      0.24      0.25      0.25      0.25
phi[2,5,2]         0.19    0.00 0.00      0.19      0.19      0.19      0.20
phi[2,5,3]         0.12    0.00 0.00      0.11      0.12      0.12      0.12
phi[2,5,4]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,5,5]         0.06    0.00 0.00      0.06      0.06      0.06      0.06
phi[2,5,6]         0.21    0.00 0.00      0.20      0.20      0.21      0.21
phi[2,5,7]         0.08    0.00 0.00      0.08      0.08      0.08      0.09
phi[2,5,8]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[2,5,9]         0.03    0.00 0.00      0.03      0.03      0.03      0.03
phi[3,1,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[3,1,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[3,1,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[3,1,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,1,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[3,1,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[3,1,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[3,1,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,1,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,2,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[3,2,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[3,2,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[3,2,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,2,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[3,2,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[3,2,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[3,2,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,2,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,3,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[3,3,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[3,3,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[3,3,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,3,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[3,3,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[3,3,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[3,3,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,3,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,4,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[3,4,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[3,4,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[3,4,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,4,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[3,4,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[3,4,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[3,4,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,4,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,5,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[3,5,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[3,5,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[3,5,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,5,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[3,5,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[3,5,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[3,5,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[3,5,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,1,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[4,1,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[4,1,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[4,1,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,1,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[4,1,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[4,1,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[4,1,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,1,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,2,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[4,2,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[4,2,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[4,2,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,2,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[4,2,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[4,2,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[4,2,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,2,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,3,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[4,3,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[4,3,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[4,3,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,3,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[4,3,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[4,3,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[4,3,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,3,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,4,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[4,4,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[4,4,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[4,4,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,4,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[4,4,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[4,4,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[4,4,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,4,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,5,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[4,5,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[4,5,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[4,5,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,5,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[4,5,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[4,5,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[4,5,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[4,5,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,1,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[5,1,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[5,1,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[5,1,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,1,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[5,1,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[5,1,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[5,1,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,1,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,2,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[5,2,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[5,2,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[5,2,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,2,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[5,2,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[5,2,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[5,2,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,2,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,3,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[5,3,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[5,3,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[5,3,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,3,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[5,3,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[5,3,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[5,3,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,3,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,4,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[5,4,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[5,4,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[5,4,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,4,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[5,4,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[5,4,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[5,4,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,4,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,5,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[5,5,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[5,5,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[5,5,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,5,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[5,5,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[5,5,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[5,5,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[5,5,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[6,1,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[6,1,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[6,1,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[6,1,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[6,1,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[6,1,6]         0.19    0.00 0.00      0.19      0.19      0.19      0.19
phi[6,1,7]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[6,1,8]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[6,1,9]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[6,2,1]         0.22    0.00 0.00      0.22      0.22      0.22      0.23
phi[6,2,2]         0.18    0.00 0.00      0.18      0.18      0.18      0.18
phi[6,2,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[6,2,4]         0.04    0.00 0.00      0.04      0.04      0.04      0.04
phi[6,2,5]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
